1,Acanthus,8388736,Arial,1,0,4194368,16764159
2,Achillea orange,19948,Arial,1,0,128,13296895
3,Agapanthus,16711680,Arial,1,0,8388608,16766935
4,Bergenia,5832793,Arial,1,0,4194368,16769023
5,Brunnera,16741749,Arial,1,0,10485760,16767449
6,Campanula,16711808,Arial,1,0,8388672,16768477
7,Crocosmia red,255,Arial,1,0,16512,13296895
8,Crocosmia,1871587,Arial,1,0,16512,13296895
9,Default ochre,114686,Arial,1,0,32768,13828095
10,Default russet,179,Arial,1,0,128,16777183
11,Dicentra pink,12615935,Arial,1,1,4915351,16767487
12,Dierama,8388736,Bookman Old Style,0,1,4194368,16769023
13,Echinops,8421440,Arial,1,0,10485760,15921894
14,Epimedium brown,1253228,Arial,1,0,170,14546943
15,Eremurus,6476793,Arial,1,0,8388672,14548991
16,Eryngium,16744576,Arial,1,0,5963776,16769505
17,Euphorbia,65408,Arial,1,0,4210688,13434879
18,Geranium pink,12615935,Arial,1,0,4194432,16767487
19,Iris pink,12615935,Arial,1,0,6750414,15269887
20,Kniphofia Red,255,Arial,1,0,6750414,14150655
21,Primula auricula,4194432,Arial,1,0,4194432,13828095
22,Rudbeckia yellow,186621,Arial,1,0,16512,14811135
23,Ferns,4227072,Century Gothic,1,1,32768,14548991
24,Euphorbia Red,4213418,Century Gothic,1,0,4146629,11205629
25,Viola,7670613,Book Antiqua,1,0,7801174,16770815
26,Hellebore,4227072,Arial,1,0,4194432,16116991
27,Colchicum,11010216,Arial,1,0,8388736,16769535
28,Crocus Purple,13369446,Arial,1,0,11010132,14544639
29,Crocus Cream,7637935,Arial,1,0,30444,14876413
30,Crocus Blue,16744576,Arial,1,0,2124031,13761020
31,Crocus Yellow,